Date,Price
2026-06-02,25535 
2026-06-02,25535 
2026-06-02,25535 
2026-06-03,25516 
2026-06-04,25364 
2026-06-05,25390 
2026-06-06,25390 
2026-06-07,25390 
2026-06-08,24861 
2026-06-09,24636 
2026-06-10,24168 
2026-06-11,23262 
2026-06-12,24065 
2026-06-13,24065 
2026-06-14,24065 
2026-06-15,24525 
2026-06-16,24592 
2026-06-17,24795 
2026-06-18,24591 
2026-06-19,24061 
2026-06-20,24061 
2026-06-21,24061 
2026-06-22,23960 
2026-06-23,24079 
2026-06-24,23579 
2026-06-25,23094 
2026-06-26,23150 
2026-06-27,23150 
2026-06-28,23150 
2026-06-29,23344 
2026-06-30,23125 
2026-07-01,23203 
2026-07-02,23423 
2026-07-03,23799 
2026-07-04,23799 
2026-07-05,23799 
2026-07-06,24029 
2026-07-07,24025 
2026-07-08,23741 
2026-07-09,23600 
